utc_time,ram_load,glite_ramload,cpu_load,ftp_connections,swap_load,active_jobs,pending_commands,ram_usage,BUpdaterPBS_ram_load,BNotifier_ram_load,java_ram_load,blahpd_ram_load,org.sam.CREAMCE-JobSubmit,org.sam.WN-Bi,org.sam.WN-Csh,org.sam.WN-SoftVer,org.sam.WN-Rep
1348476300,94.589,1213.434,7.1,2,0.00,420,0,73.88,45.586,24.129,488.699,1138.61,0,0,0,0,0
1348476600,95.272,1213.434,7.1,2,0.00,421,0,74.06,45.586,24.129,496.285,1138.61,0,0,0,0,0
1348477200,95.196,1213.438,7.1,2,0.00,418,0,73.95,45.586,24.129,492.84,1138.61,0,0,0,0,0
1348477500,95.348,1213.434,7.1,4,0.00,418,0,74.11,45.586,24.129,492.84,1138.61,0,0,0,0,0
1348477800,94.842,1213.434,7.1,3,0.00,418,0,73.51,45.586,24.129,474.18,1138.61,0,0,0,0,0
1348478100,94.564,1213.434,7.1,4,0.00,418,0,73.35,45.586,24.129,468.793,1138.61,0,0,0,0,0
1348478400,94.994,1213.434,7.0,3,0.00,420,0,73.54,45.586,24.129,474.113,1138.61,0,0,0,0,0
1348478700,94.817,1213.434,7.0,2,0.00,419,0,74.10,45.586,24.129,495.953,1138.61,0,0,0,0,0
1348479000,94.109,1213.434,7.0,2,0.00,421,0,72.91,45.586,24.129,450.578,1138.61,0,0,0,0,0
1348479300,94.311,1213.446,7.0,3,0.00,422,0,73.09,45.59,24.133,455.301,1138.61,0,0,0,0,0
1348479600,95.196,1213.442,7.0,2,0.00,421,0,73.98,45.59,24.133,490.039,1138.61,0,0,0,0,0
1348479900,94.867,1213.442,7.0,2,0.00,421,0,73.71,45.59,24.133,477.281,1138.61,0,0,0,0,0
1348480200,94.614,1213.442,7.0,3,0.00,421,0,73.37,45.594,24.133,463.277,1138.61,0,0,0,0,0
1348480500,95.449,1213.442,7.0,2,0.00,421,0,74.21,45.59,24.133,498.453,1138.61,0,0,0,0,0
1348480800,94.437,1213.442,7.0,3,0.00,422,0,73.17,45.59,24.133,455.227,1138.61,0,0,0,0,0
1348481100,94.083,1213.442,7.0,1,0.00,420,0,72.86,45.59,24.133,445.77,1138.61,0,0,0,0,0
1348481400,94.842,1213.442,7.0,3,0.00,418,0,73.62,45.59,24.133,476.039,1138.61,0,0,0,0,0
1348481700,94.994,1213.458,7.0,3,0.00,421,0,73.86,45.598,24.141,483.059,1138.61,0,0,0,0,0
1348482000,94.867,1213.458,7.0,2,0.00,422,0,73.63,45.598,24.141,473.68,1138.61,0,0,0,0,0
1348482300,93.831,1213.462,7.0,5,0.00,422,0,73.07,45.598,24.141,446.512,1138.61,0,0,0,0,0
1348482600,94.69,1213.458,7.0,2,0.00,423,0,73.45,45.598,24.141,467.488,1138.61,0,0,0,0,0
1348482900,94.867,1213.458,7.0,3,0.00,421,0,73.63,45.598,24.141,471.207,1138.61,0,0,0,0,0
1348483200,94.286,1213.458,7.0,4,0.00,421,0,73.01,45.598,24.141,442.793,1138.61,0,0,0,0,0
1348483500,95.398,1213.458,7.0,1,0.00,421,0,74.16,45.598,24.141,494.59,1138.61,0,0,0,0,0
1348483800,95.145,1213.465,7.0,3,0.00,422,0,73.89,45.602,24.145,480.625,1138.61,0,0,0,0,0
1348484100,94.362,1213.465,7.0,1,0.00,421,0,73.13,45.602,24.145,453.258,1138.61,0,0,0,0,0
1348484400,94.968,1213.465,7.0,2,0.00,420,0,73.71,45.602,24.145,474.633,1138.61,0,0,0,0,0
1348484700,94.842,1213.465,7.0,2,0.00,421,0,73.59,45.602,24.145,468.246,1138.61,0,0,0,0,0
1348485000,94.437,1213.465,7.0,2,0.00,420,0,73.16,45.606,24.145,453.828,1138.61,0,0,0,0,0
1348485300,95.398,1213.465,7.0,1,0.00,423,0,74.12,45.602,24.145,491.59,1138.61,0,0,0,0,0
1348485600,94.589,1213.473,7.0,1,0.00,421,0,73.33,45.606,24.148,459.527,1138.61,0,0,0,0,0
1348485900,94.867,1213.473,7.0,1,0.00,417,1,73.60,45.606,24.148,470.043,1138.61,0,0,0,0,0
1348486200,94.817,1213.473,7.0,2,0.00,417,0,73.54,45.606,24.148,465.797,1138.61,0,0,0,0,0
1348486500,94.943,1213.473,7.0,1,0.00,416,0,73.69,45.606,24.148,472.961,1138.61,0,0,0,0,0
1348486800,94.362,1213.473,7.0,3,0.00,413,0,73.07,45.606,24.148,446.363,1138.61,0,0,0,0,0
1348487100,95.171,1213.477,7.0,3,0.00,410,0,73.86,45.606,24.148,477.742,1138.61,0,0,0,0,0
1348487400,94.058,1213.477,7.0,1,0.00,411,0,72.80,45.606,24.148,437.121,1138.61,0,0,0,0,0
1348487700,94.109,1213.485,7.0,2,0.00,412,0,73.28,45.609,24.156,453.699,1138.61,0,0,0,0,0
1348488000,94.488,1213.489,7.0,2,0.00,411,0,73.21,45.613,24.156,452.449,1138.61,0,0,0,0,0
1348488300,94.362,1213.489,7.0,1,0.00,406,0,73.02,45.613,24.156,444.543,1138.61,0,0,0,0,0
1348488600,95.12,1213.489,7.0,2,0.00,405,0,73.80,45.613,24.156,475.371,1138.61,0,0,0,0,0
1348488900,94.867,1213.489,7.0,2,0.00,406,0,74.17,45.613,24.156,463.293,1138.61,0,0,0,0,0
1348489200,94.994,1213.489,7.0,3,0.00,409,0,73.75,45.613,24.156,469.582,1138.61,0,0,0,0,0
1348489500,94.614,1213.497,7.0,2,0.00,407,0,73.57,45.617,24.16,454.461,1138.61,0,0,0,0,0
1348489800,95.272,1213.505,7.0,3,0.00,406,0,73.93,45.617,24.164,477.668,1138.61,0,0,0,0,0
1348490100,94.69,1213.497,7.0,3,0.00,400,0,73.29,45.617,24.16,451.809,1138.61,0,0,0,0,0
1348490400,94.918,1213.497,7.0,2,0.00,396,0,73.60,45.617,24.16,464.418,1138.61,0,0,0,0,0
1348490700,95.044,1213.497,7.0,4,0.00,399,0,73.77,45.617,24.16,468.793,1138.61,0,0,0,0,0
1348491000,94.21,1213.501,7.0,5,0.00,399,0,72.92,45.617,24.16,436.578,1138.61,0,0,0,0,0
1348491300,95.424,1213.505,7.0,3,0.00,400,0,73.86,45.621,24.164,471.707,1138.61,0,0,0,0,0
1348491600,94.918,1213.505,7.0,4,0.00,400,0,74.16,45.621,24.164,481.902,1138.61,0,0,0,0,0
1348491900,94.943,1213.505,7.0,7,0.00,390,0,74.22,45.621,24.164,461.199,1138.61,0,0,0,0,0
1348492200,94.867,1213.505,7.0,9,0.00,384,0,73.51,45.621,24.164,457.066,1138.61,0,0,0,0,0
1348492500,94.791,1213.505,7.0,4,0.00,378,0,73.39,45.621,24.164,455.762,1138.61,0,0,0,0,0
1348492800,94.994,1213.505,7.0,1,0.00,375,0,74.31,45.621,24.164,465.695,1138.61,0,0,0,0,0
1348493100,94.918,1213.505,7.0,5,0.00,374,1,73.53,45.621,24.164,453.367,1138.61,0,0,0,0,0
1348493400,95.12,1213.505,7.0,2,0.00,370,0,73.79,45.625,24.164,469.023,1138.61,0,0,0,0,0
