etime;apache2_18_vmstk;apache2_18_threads;apache2_18_conns;apache2_18_vmdata;apache2_18_vmsize;apache2_18_vmswap;apache2_18_vmrss;localhost_processload_apache2_28
1286834700; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513492992e+08; 1.5388590080e+07; 1.5624444444e-01
1286835000; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 2.3777777778e-02
1286835300; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 2.3333333333e-02
1286835600; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 2.0011111111e-02
1286835900; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 2.3244961240e-02
1286836200; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 1.6765964066e-02
1286836500; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 1.3344630249e-02
1286836800; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 1.3289184201e-02
1286837100; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 1.3377333822e-02
1286837400; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 1.3333481977e-02
