etime;jboss_16_threads;localhost_processload_jboss_27;jboss_16_vmstk;jboss_16_vmsize;jboss_16_conns;jboss_16_vmrss;jboss_16_vmswap;jboss_16_vmdata
1286834700; 3.0998666667e+02; 5.1091666667e+00; 8.6016000000e+04; 4.7029001830e+09; 0.0000000000e+00; 2.8776442675e+09; 1.8252559155e+09; 4.6382407680e+09
1286835000; 3.0701000000e+02; 4.7548888889e-01; 8.6016000000e+04; 4.7029002240e+09; 0.0000000000e+00; 2.8775468237e+09; 1.8253534003e+09; 4.6382407680e+09
1286835300; 3.0102000000e+02; 2.7727777778e-01; 8.6016000000e+04; 4.7029451298e+09; 0.0000000000e+00; 2.8774730138e+09; 1.8254721161e+09; 4.6382407680e+09
1286835600; 3.0000333333e+02; 2.7018888889e+00; 8.6016000000e+04; 4.7006142601e+09; 0.0000000000e+00; 2.8771788390e+09; 1.8234354210e+09; 4.6361424418e+09
1286835900; 3.0299000000e+02; 1.4376264784e+01; 8.6016000000e+04; 4.7006064640e+09; 0.0000000000e+00; 2.8772023501e+09; 1.8234041139e+09; 4.6361354240e+09
1286836200; 3.0101333333e+02; 2.7006949707e+00; 8.6016000000e+04; 4.6995404663e+09; 0.0000000000e+00; 2.8771047834e+09; 1.8224356830e+09; 4.6350897698e+09
1286836500; 3.0100000000e+02; 1.5510229134e+01; 8.6016000000e+04; 4.6993291947e+09; 0.0000000000e+00; 2.8769285871e+09; 1.8224006076e+09; 4.6350827520e+09
1286836800; 3.0199666667e+02; 3.5054103359e+00; 8.6016000000e+04; 4.6998714641e+09; 0.0000000000e+00; 2.8774954462e+09; 1.8223760179e+09; 4.6350827520e+09
1286837100; 2.9703333333e+02; 1.5042699437e+01; 8.6016000000e+04; 4.6995559219e+09; 0.0000000000e+00; 2.8770823373e+09; 1.8224735846e+09; 4.6350827520e+09
1286837400; 2.9799666667e+02; 1.3726457822e+00; 8.6016000000e+04; 4.6993292629e+09; 0.0000000000e+00; 2.8768631876e+09; 1.8224660753e+09; 4.6350827520e+09
1286837700; 2.9999333333e+02; 2.8681111111e-01; 8.6016000000e+04; 4.6993285120e+09; 0.0000000000e+00; 2.8768992051e+09; 1.8224293069e+09; 4.6350827520e+09
1286838000; 2.9900333333e+02; 2.6672222222e-01; 8.6016000000e+04; 4.6994591471e+09; 0.0000000000e+00; 2.8770177161e+09; 1.8224414310e+09; 4.6350827520e+09
1286838300; 2.9999666667e+02; 2.6334444444e-01; 8.6016000000e+04; 4.6974551518e+09; 0.0000000000e+00; 2.8770711825e+09; 1.8203839693e+09; 4.6329844258e+09
1286838600; 2.9601333333e+02; 2.5004444444e-01; 8.6016000000e+04; 4.6972239189e+09; 0.0000000000e+00; 2.8767733487e+09; 1.8204505702e+09; 4.6329774080e+09
1286838900; 2.9998666667e+02; 2.3795444444e+00; 8.6016000000e+04; 4.6975620028e+09; 0.0000000000e+00; 2.8771805867e+09; 1.8203814161e+09; 4.6329774080e+09
1286839200; 3.0000000000e+02; 4.3984444444e-01; 8.6016000000e+04; 4.6974488303e+09; 0.0000000000e+00; 2.8770717286e+09; 1.8203771017e+09; 4.6329774080e+09
1286839500; 2.9501666667e+02; 2.3768333333e+00; 8.6016000000e+04; 4.6973545540e+09; 0.0000000000e+00; 2.8768999014e+09; 1.8204546526e+09; 4.6329774080e+09
1286839800; 2.9599666667e+02; 5.0376343669e+00; 8.6016000000e+04; 4.6972236049e+09; 0.0000000000e+00; 2.8767686929e+09; 1.8204549120e+09; 4.6329774080e+09
1286840100; 2.9500666667e+02; 2.3392398434e+00; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8767641873e+09; 1.8204589807e+09; 4.6329774080e+09
1286840400; 2.9500000000e+02; 2.3200035674e+00; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8767029248e+09; 1.8205202432e+09; 4.6329774080e+09
1286840700; 2.9599666667e+02; 4.1968888889e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8767068023e+09; 1.8205163657e+09; 4.6329774080e+09
1286841000; 2.9699666667e+02; 8.0867777778e-01; 8.6016000000e+04; 4.6975211793e+09; 0.0000000000e+00; 2.8770089097e+09; 1.8205122697e+09; 4.6329774080e+09
1286841300; 2.9500666667e+02; 2.1532222222e-01; 8.6016000000e+04; 4.6974282820e+09; 0.0000000000e+00; 2.8769119437e+09; 1.8205163383e+09; 4.6329774080e+09
1286841600; 2.9599666667e+02; 2.0668888889e-01; 8.6016000000e+04; 4.6973544858e+09; 0.0000000000e+00; 2.8768503808e+09; 1.8205041050e+09; 4.6329774080e+09
1286841900; 2.9500333333e+02; 2.1591590993e-01; 8.6016000000e+04; 4.6972236049e+09; 0.0000000000e+00; 2.8767032115e+09; 1.8205203934e+09; 4.6329774080e+09
1286842200; 2.9599333333e+02; 2.1405948955e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8767027200e+09; 1.8205204480e+09; 4.6329774080e+09
