etime;localhost_mem_swap_4;localhost_mem_buffers_3;localhost_proc_7;localhost_processload_total_29;localhost_traffic_eth0_22;localhost_load_1min_44
1286834700; 4.1594239867e+06; 3.2828226533e+06; 2.4307666667e+02; 2.3806890000e+02; -nan 1.0132925798e+05; 1.0761666667e+00 2.3421000000e+00 2.7306666667e+00
1286835000; 4.1594240000e+06; 3.2923130133e+06; 2.3203666667e+02; 1.3759192222e+02; -nan 1.2086189650e+05; 1.2195000000e+00 1.6921666667e+00 2.3413000000e+00
1286835300; 4.1594240000e+06; 3.3853290000e+06; 2.2701666667e+02; 1.3156570000e+02; -nan 7.1753167722e+04; 9.8080000000e-01 1.2913333333e+00 1.9911666667e+00
1286835600; 4.1594240000e+06; 3.4021727067e+06; 2.3397666667e+02; 1.4704483333e+02; -nan 2.9054896878e+04; 1.1394666667e+00 1.3298666667e+00 1.8305333333e+00
1286835900; 4.1594240000e+06; 3.3988034533e+06; 2.3200666667e+02; 1.2111678955e+02; -nan 6.3756799907e+04; 7.0146666667e-01 1.1306666667e+00 1.6207000000e+00
1286836200; 4.1594240000e+06; 3.4011720267e+06; 2.3498000000e+02; 9.2728404464e+01; -nan 3.5816734121e+04; 5.5100000000e-01 9.0153333333e-01 1.4014666667e+00
1286836500; 4.1594240000e+06; 3.3536669333e+06; 2.1706000000e+02; 1.1244342821e+02; -nan 3.4727991516e+04; 5.5996666667e-01 9.3986666667e-01 1.3003333333e+00
1286836800; 4.1594240000e+06; 3.3302497867e+06; 2.1899333333e+02; 1.2067369336e+02; -nan 1.0146782629e+05; 8.6896666667e-01 9.8983333333e-01 1.2302333333e+00
1286837100; 4.1594240000e+06; 3.2909393067e+06; 2.1304000000e+02; 1.1701802894e+02; -nan 1.5412784773e+05; 5.9186666667e-01 9.7013333333e-01 1.1803333333e+00
1286837400; 4.1594240000e+06; 3.2465037333e+06; 2.1599000000e+02; 1.0583731104e+02; -nan 5.4845315609e+04; 8.0926666667e-01 9.1020000000e-01 1.0903000000e+00
1286837700; 4.1594240000e+06; 3.2021638000e+06; 2.1799333333e+02; 1.3128808889e+02; -nan 6.6910407389e+04; 8.5983333333e-01 1.0595000000e+00 1.1298666667e+00
1286838000; 4.1594240000e+06; 3.1476538133e+06; 2.2398000000e+02; 9.7396966667e+01; -nan 1.0226341121e+05; 5.0120000000e-01 8.3076666667e-01 1.0203666667e+00
1286838300; 4.1594240000e+06; 3.1677960267e+06; 2.1503000000e+02; 8.0529366667e+01; -nan 7.3460226700e+04; 6.1960000000e-01 7.8016666667e-01 9.6020000000e-01
1286838600; 4.1594240000e+06; 3.2512451333e+06; 2.0603000000e+02; 8.3579611111e+01; -nan 5.7532808789e+04; 5.9010000000e-01 7.8996666667e-01 9.2013333333e-01
1286838900; 4.1594240000e+06; 3.1411252267e+06; 2.1397333333e+02; 8.2805955556e+01; -nan 3.1445478189e+04; 4.7040000000e-01 7.9996666667e-01 9.1003333333e-01
1286839200; 4.1594240000e+06; 3.2095977600e+06; 2.0901666667e+02; 7.6275166667e+01; -nan 1.1427072129e+05; 4.3013333333e-01 6.9036666667e-01 8.4023333333e-01
1286839500; 4.1594240000e+06; 3.1606365200e+06; 2.0601000000e+02; 7.0545755556e+01; -nan 7.3621444844e+04; 3.4030000000e-01 6.1026666667e-01 7.8020000000e-01
1286839800; 4.1594240000e+06; 3.2226919067e+06; 2.0600000000e+02; 7.3806307051e+01; -nan 1.6211270416e+04; 2.3036666667e-01 5.7013333333e-01 7.4013333333e-01
1286840100; 4.1594240000e+06; 3.2476101600e+06; 2.0699333333e+02; 5.7371245606e+01; -nan 2.0966972923e+03; 3.4920000000e-01 5.2033333333e-01 6.8040000000e-01
1286840400; 4.1594240000e+06; 3.1464548667e+06; 2.0700000000e+02; 6.8303069565e+01; -nan 3.0901354169e+04; 1.7060000000e-01 5.1003333333e-01 6.5010000000e-01
1286840700; 4.1594240000e+06; 3.1764346000e+06; 2.0600333333e+02; 5.5346788889e+01; -nan 2.7552241222e+03; 2.6966666667e-01 4.7013333333e-01 6.0016666667e-01
1286841000; 4.1594240000e+06; 3.1497575600e+06; 2.0899000000e+02; 5.6107311111e+01; -nan 4.5028060000e+03; 2.0023333333e-01 4.2016666667e-01 5.5016666667e-01
1286841300; 4.1594240000e+06; 3.2082002400e+06; 2.1298666667e+02; 6.0166433333e+01; -nan 1.1076604656e+04; 3.2956666667e-01 4.9973333333e-01 5.6993333333e-01
1286841600; 4.1594240000e+06; 3.2362388800e+06; 2.0801666667e+02; 5.7409266667e+01; -nan 8.4598152667e+03; 1.9046666667e-01 4.8006666667e-01 5.6003333333e-01
1286841900; 4.1594240000e+06; 3.2669256800e+06; 2.0600666667e+02; 5.4799395349e+01; -nan 6.9383977075e+03; 1.9996666667e-01 4.5010000000e-01 5.3010000000e-01
1286842200; 4.1594240000e+06; 3.2794804267e+06; 2.0898000000e+02; 5.5962038319e+01; -nan 8.1131320919e+03; 2.2980000000e-01 4.8973333333e-01 5.4986666667e-01
1286842500; 4.1594240000e+06; 3.3065696800e+06; 2.0601000000e+02; 5.0747466332e+01; -nan 4.2809099450e+03; 1.8016666667e-01 4.5013333333e-01 5.2010000000e-01
1286842800; 4.1594240000e+06; 3.2989737067e+06; 2.0998666667e+02; 5.4271488889e+01; -nan 1.0373248000e+04; 2.0990000000e-01 4.3006666667e-01 5.0006666667e-01
1286843100; 4.1594240000e+06; 3.2841215867e+06; 2.0601333333e+02; 5.0442844444e+01; -nan 1.8942395111e+03; 1.3026666667e-01 3.8016666667e-01 4.8006666667e-01
1286843400; 4.1594240000e+06; 3.2635287067e+06; 2.0600000000e+02; 5.0592788889e+01; -nan 5.7098403889e+03; 1.3996666667e-01 3.7003333333e-01 4.6006666667e-01
1286843700; 4.1594240000e+06; 3.2643290933e+06; 2.0600000000e+02; 4.8829233333e+01; -nan 7.2450967778e+02; 1.8983333333e-01 3.7000000000e-01 4.4006666667e-01
1286844000; 4.1594240000e+06; 3.2457342000e+06; 2.0600000000e+02; 4.8731205131e+01; -nan 1.3155216997e+04; 1.3020000000e-01 3.7000000000e-01 4.3003333333e-01
1286844300; 4.1594240000e+06; 3.2453898933e+06; 2.0600000000e+02; 4.8210848121e+01; -nan 1.1006308206e+03; 2.3926666667e-01 3.8986666667e-01 4.3000000000e-01
1286844600; 4.1594240000e+06; 3.1389240667e+06; 2.0600000000e+02; 4.7831257860e+01; -nan 1.7104356716e+03; 1.2040000000e-01 3.8003333333e-01 4.3000000000e-01
1286844900; 4.1594240000e+06; 3.1380258133e+06; 2.0600000000e+02; 4.7590800000e+01; -nan 7.0767810000e+02; 1.7980000000e-01 3.8000000000e-01 4.3000000000e-01
1286845200; 4.1594240000e+06; 3.1357715333e+06; 2.0600000000e+02; 4.6766088889e+01; -nan 1.1294448333e+03; 1.6006666667e-01 3.9993333333e-01 4.3996666667e-01
1286845500; 4.1594240000e+06; 3.1572282133e+06; 2.0600000000e+02; 4.7278277778e+01; -nan 2.0807697333e+03; 9.0233333333e-02 3.7010000000e-01 4.3003333333e-01
1286845800; 4.1594240000e+06; 3.1550714533e+06; 2.0600000000e+02; 4.7273355556e+01; -nan 1.5353713667e+03; 1.1990000000e-01 3.6003333333e-01 4.2003333333e-01
1286846100; 4.1594240000e+06; 3.1864231200e+06; 2.0600000000e+02; 4.6497611000e+01; -nan 1.7661555652e+03; 1.5986666667e-01 3.5003333333e-01 4.1003333333e-01
1286846400; 4.1594240000e+06; 3.1859081600e+06; 2.0600000000e+02; 4.6292330211e+01; -nan 5.7760415012e+02; 3.6860000000e-01 3.9966666667e-01 4.1993333333e-01
1286846700; 4.1594240000e+06; 3.2344655867e+06; 2.0600000000e+02; 4.8240147677e+01; -nan 7.1398526514e+03; 3.7996666667e-01 4.8970000000e-01 4.5986666667e-01
1286847000; 4.1594240000e+06; 3.2540430667e+06; 2.0600000000e+02; 4.8369588889e+01; -nan 1.3362116578e+04; 2.2053333333e-01 4.2023333333e-01 4.5003333333e-01
1286847300; 4.1594240000e+06; 3.2697516800e+06; 2.0600000000e+02; 4.8676715061e+01; -nan 1.5125401316e+04; 3.1966666667e-01 4.3993333333e-01 4.5996666667e-01
1286847600; 4.1594240000e+06; 3.2683497600e+06; 2.0600000000e+02; 4.9848330981e+01; -nan 1.1789471383e+04; 2.1073333333e-01 4.0026666667e-01 4.4013333333e-01
1286847900; 4.1594240000e+06; 3.2698350000e+06; 2.0600000000e+02; 4.5278642847e+01; -nan 3.2683371005e+03; 1.3026666667e-01 4.0000000000e-01 4.4000000000e-01
1286848200; 4.1594240000e+06; 3.2229647733e+06; 2.0600000000e+02; 4.5990922075e+01; -nan 1.4552346059e+03; 1.2003333333e-01 3.6013333333e-01 4.3003333333e-01
1286848500; 4.1594240000e+06; 3.2233881067e+06; 2.0600000000e+02; 4.4541516461e+01; -nan 8.9782137053e+02; 9.0200000000e-02 3.3020000000e-01 4.1013333333e-01
1286848800; 4.1594240000e+06; 3.7126237733e+06; 2.1098333333e+02; 4.5945272575e+01; -nan 1.4577615791e+03; 1.8966666667e-01 3.4993333333e-01 4.1000000000e-01
1286849100; 4.1594240000e+06; 4.2790869467e+06; 2.0900666667e+02; 4.4408488889e+01; -nan 2.7686985667e+03; 6.0433333333e-02 3.1013333333e-01 3.9006666667e-01
1286849400; 4.1594240000e+06; 4.2796006000e+06; 2.0900000000e+02; 4.3441754190e+01; -nan 1.1116628801e+03; 5.0033333333e-02 3.1996666667e-01 3.8003333333e-01
1286849700; 4.1594240000e+06; 4.2770371733e+06; 2.1198000000e+02; 4.0086045104e+01; -nan 4.1764505192e+03; 1.2946666667e-01 3.2000000000e-01 3.8000000000e-01
1286850000; 4.1594240000e+06; 4.2902477600e+06; 2.0901000000e+02; 4.0638078484e+01; -nan 1.1028584895e+03; 5.0266666667e-02 2.9010000000e-01 3.6006666667e-01
1286850300; 4.1594240000e+06; 4.3741834267e+06; 2.0900000000e+02; 4.1138333333e+01; -nan 1.7330475756e+04; 4.0033333333e-02 2.6010000000e-01 3.4006666667e-01
1286850600; 4.1594240000e+06; 4.3739258000e+06; 2.1298666667e+02; 4.0176555556e+01; -nan 1.6770544311e+04; 6.9900000000e-02 2.7993333333e-01 3.4000000000e-01
1286850900; 4.1594240000e+06; 4.3758734800e+06; 2.0901333333e+02; 3.9974000000e+01; -nan 9.8433980000e+02; 4.0100000000e-02 2.6006666667e-01 3.2006666667e-01
1286851200; 4.1594240000e+06; 4.3745364933e+06; 2.0900000000e+02; 4.0528144444e+01; -nan 1.0738208444e+03; 7.9866666667e-02 2.6996666667e-01 3.2000000000e-01
1286851500; 4.1594240000e+06; 4.3754888000e+06; 2.0900000000e+02; 3.8740205205e+01; -nan 8.6903864116e+02; 4.0133333333e-02 2.7000000000e-01 3.2000000000e-01
1286851800; 4.1594240000e+06; 4.3759052267e+06; 2.0900000000e+02; 4.2752297248e+01; -nan 1.4951843767e+03; 1.0953333333e-01 2.7993333333e-01 3.2000000000e-01
1286852100; 4.1594240000e+06; 4.3756927200e+06; 2.0900000000e+02; 3.9188675325e+01; -nan 7.3596659324e+02; 4.0233333333e-02 2.5010000000e-01 3.1003333333e-01
1286852400; 4.1594240000e+06; 4.3756003067e+06; 2.0900000000e+02; 3.9844433333e+01; -nan 1.3057624556e+03; 4.9966666667e-02 2.5996666667e-01 3.1000000000e-01
1286852700; 4.1594240000e+06; 4.3756677733e+06; 2.0900000000e+02; 3.9687200000e+01; -nan 3.4501146556e+03; 2.8920000000e-01 3.1980000000e-01 3.2993333333e-01
1286853000; 4.1594240000e+06; 4.3722633867e+06; 2.1199000000e+02; 4.0503933333e+01; -nan 8.1078994222e+03; 2.0030000000e-01 3.2996666667e-01 3.3996666667e-01
1286853300; 4.1594240000e+06; 3.7536090400e+06; 2.1000666667e+02; 4.2408920340e+01; -nan 3.9685030517e+06; 1.1030000000e-01 3.1006666667e-01 3.4000000000e-01
1286853600; 4.1594240000e+06; 3.4361725600e+06; 2.0900666667e+02; 4.2700427412e+01; -nan 6.6180708754e+06; 1.0006666667e-01 3.1000000000e-01 3.4000000000e-01
1286853900; 4.1594240000e+06; 2.6056067333e+06; 2.0900000000e+02; 4.6470730026e+01; -nan 2.9758656371e+06; 6.0133333333e-02 3.2993333333e-01 3.5993333333e-01
1286854200; 4.1594240000e+06; 2.5258494800e+06; 2.0900000000e+02; 4.1772422222e+01; -nan 1.9006695667e+04; 6.0000000000e-02 3.2003333333e-01 3.6000000000e-01
1286854500; 4.1594240000e+06; 2.3625652400e+06; 2.0900000000e+02; 4.1613811111e+01; -nan 1.4312509089e+04; 5.0033333333e-02 3.1003333333e-01 3.6000000000e-01
1286854800; 4.1594240000e+06; 1.7518582667e+05; 2.0900000000e+02; 5.2646433333e+01; -nan 4.9260095740e+05; 4.6860000000e-01 3.9970000000e-01 3.7993333333e-01
1286855100; 4.1594240000e+06; 1.6761685333e+05; 2.0700666667e+02; 4.4671314323e+01; -nan 2.5577304830e+07; 1.5106666667e-01 3.7010000000e-01 3.8996666667e-01
1286855400; 4.1594240000e+06; 1.6423866667e+05; 2.1892000000e+02; 4.9263315741e+01; -nan 2.4020841321e+07; 8.6520000000e-01 5.7860000000e-01 4.6946666667e-01
1286855700; 4.1594240000e+06; 2.7742138667e+05; 2.1302000000e+02; 7.1834912388e+01; -nan 1.3650635442e+05; 7.5040000000e-01 9.6870000000e-01 6.8926666667e-01
1286856000; 4.1594240000e+06; 2.3713690667e+05; 2.1200666667e+02; 4.2182791068e+01; -nan 1.9550112912e+04; 4.4733333333e-02 5.2300000000e-01 5.8073333333e-01
1286856300; 4.1594240000e+06; 2.7689013333e+05; 2.1997333333e+02; 4.6700888703e+01; -nan 3.8881656312e+04; 8.9833333333e-02 3.8046666667e-01 5.2020000000e-01
1286856600; 4.1594240000e+06; 2.2641326667e+05; 2.1501666667e+02; 4.5713355556e+01; -nan 3.9847060244e+04; 1.4980000000e-01 3.6006666667e-01 4.8013333333e-01
1286856900; 4.1594240000e+06; 1.8404912000e+05; 2.1998333333e+02; 5.1696644444e+01; -nan 5.8806307834e+05; 8.0233333333e-02 3.6000000000e-01 4.6006666667e-01
1286857200; 4.1594240000e+06; 4.4635026667e+05; 2.1103000000e+02; 4.7052145257e+01; -nan 1.9032663998e+05; 2.0956666667e-01 3.7993333333e-01 4.5003333333e-01
1286857500; 4.1594240000e+06; 5.0969674667e+05; 2.0901333333e+02; 4.2375762027e+01; -nan 4.0185897869e+04; 1.2060000000e-01 3.4026666667e-01 4.3013333333e-01
1286857800; 4.1594240000e+06; 4.3423777333e+05; 2.1697333333e+02; 4.3346648272e+01; -nan 3.6365151658e+04; 4.0266666667e-02 3.1010000000e-01 4.0010000000e-01
1286858100; 4.1594240000e+06; 3.7602584000e+05; 2.1401000000e+02; 4.6140666667e+01; -nan 4.0712585189e+04; 6.9900000000e-02 3.1000000000e-01 3.9003333333e-01
1286858400; 4.1594240000e+06; 5.0641925333e+05; 2.0901666667e+02; 4.6070266667e+01; -nan 1.3638404500e+04; 8.9933333333e-02 3.1996666667e-01 3.9000000000e-01
1286858700; 4.1594240000e+06; 4.4649786667e+05; 2.2096000000e+02; 4.5153066667e+01; -nan 3.7706647867e+04; 4.0166666667e-02 2.8013333333e-01 3.6010000000e-01
1286859000; 4.1594240000e+06; 4.9163237333e+05; 2.2498666667e+02; 6.5109911111e+01; -nan 2.7934542856e+04; 1.6956666667e-01 4.0956666667e-01 4.0983333333e-01
1286859300; 4.1594240000e+06; 5.3881869333e+05; 2.0905333333e+02; 4.6927700000e+01; -nan 9.0465635700e+04; 2.2980000000e-01 4.0003333333e-01 4.1996666667e-01
