etime;mysql_17_threads;mysql_17_conns;localhost_processload_mysql_26;mysql_17_vmswap;mysql_19_questions;mysql_17_vmsize;mysql_19_processes;mysql_17_vmdata;mysql_17_vmstk;mysql_17_vmrss
1286834700; 4.0980000000e+01; 0.0000000000e+00; 5.3305111111e+00; 4.0820770133e+08; 3.4306288889e+01; 7.6417024000e+08; 3.1980000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5596253867e+08
1286835000; 4.1000000000e+01; 0.0000000000e+00; 3.6189666667e+00; 4.0819511296e+08; 3.4436266667e+01; 7.6417024000e+08; 3.2000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5597512704e+08
1286835300; 4.1000000000e+01; 0.0000000000e+00; 6.0717777778e+00; 4.0818690731e+08; 3.7745600000e+01; 7.6417024000e+08; 3.2000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5598333269e+08
1286835600; 4.0003333333e+01; 0.0000000000e+00; 4.3889888889e+00; 4.0820320939e+08; 3.5178622222e+01; 7.6417024000e+08; 3.1003333333e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5596703061e+08
1286835900; 4.0000000000e+01; 0.0000000000e+00; 4.2231271687e+00; 4.0821551104e+08; 1.2103722813e+01; 7.6417024000e+08; 3.1000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5595472896e+08
1286836200; 4.0000000000e+01; 0.0000000000e+00; 1.9051851687e+00; 4.0821555200e+08; 1.3741002159e+01; 7.6417024000e+08; 3.1000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5595468800e+08
1286836500; 3.5016666667e+01; 0.0000000000e+00; 3.1723765515e+00; 4.0829311659e+08; 1.4630397250e+01; 7.6417024000e+08; 2.6016666667e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5587712341e+08
1286836800; 2.8023333333e+01; 0.0000000000e+00; 3.0767461425e+00; 4.0845666987e+08; 3.0942133260e+01; 7.6417024000e+08; 1.9023333333e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5571357013e+08
1286837100; 2.7006666667e+01; 0.0000000000e+00; 2.6450356115e+00; 4.0849383424e+08; 1.2163188554e+01; 7.6417024000e+08; 1.8006666667e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5567640576e+08
1286837400; 2.5006666667e+01; 0.0000000000e+00; 1.4805515793e+00; 4.0827363328e+08; 1.7867167075e+01; 7.6417024000e+08; 1.6006666667e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5589660672e+08
1286837700; 2.4003333333e+01; 0.0000000000e+00; 9.8165555556e-01; 4.0820757845e+08; 2.1494600000e+01; 7.6417024000e+08; 1.5003333333e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5596266155e+08
1286838000; 2.4996666667e+01; 0.0000000000e+00; 2.5613777778e+00; 4.0684793856e+08; 1.8666166667e+01; 7.6417024000e+08; 1.5000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5732230144e+08
1286838300; 2.4003333333e+01; 0.0000000000e+00; 1.8889333333e+00; 4.0689238016e+08; 7.8096111111e+00; 7.6417024000e+08; 1.5000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5727785984e+08
1286838600; 2.4000000000e+01; 0.0000000000e+00; 1.1890000000e+00; 4.0705175552e+08; 1.9092144444e+01; 7.6417024000e+08; 1.5000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5711848448e+08
1286838900; 2.4000000000e+01; 0.0000000000e+00; 5.4547777778e-01; 4.0708086443e+08; 9.4291111111e+00; 7.6417024000e+08; 1.5000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5708937557e+08
1286839200; 2.4000000000e+01; 0.0000000000e+00; 4.4034444444e-01; 4.0708912469e+08; 7.8983444444e+00; 7.6417024000e+08; 1.5000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5708111531e+08
1286839500; 2.4000000000e+01; 0.0000000000e+00; 8.9514444444e-01; 4.0708915200e+08; 8.3052888889e+00; 7.6417024000e+08; 1.5000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5708108800e+08
1286839800; 2.4000000000e+01; 0.0000000000e+00; 4.5662122554e-01; 4.0708915200e+08; 9.8619081580e+00; 7.6417024000e+08; 1.5000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5708108800e+08
1286840100; 2.3006666667e+01; 0.0000000000e+00; 1.9904324863e-01; 4.0711356416e+08; 9.5280414227e-01; 7.6417024000e+08; 1.4006666667e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5705667584e+08
1286840400; 2.0010000000e+01; 0.0000000000e+00; 4.8902441472e-01; 4.0716271616e+08; 9.9463876997e+00; 7.6417024000e+08; 1.1010000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5700752384e+08
1286840700; 2.0000000000e+01; 0.0000000000e+00; 4.0694444444e-01; 4.0716288000e+08; 1.5050000000e+00; 7.6417024000e+08; 1.1000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5700736000e+08
1286841000; 1.8006666667e+01; 0.0000000000e+00; 2.3723333333e-01; 4.0722003285e+08; 1.6926111111e+00; 7.6417024000e+08; 9.0066666667e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5695020715e+08
1286841300; 1.9993333333e+01; 0.0000000000e+00; 5.6224444444e-01; 4.0715898880e+08; 4.1850000000e+00; 7.6417024000e+08; 1.0993333333e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5701125120e+08
1286841600; 2.0000000000e+01; 0.0000000000e+00; 1.2812222222e-01; 4.0716694869e+08; 2.6485000000e+00; 7.6417024000e+08; 1.1000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5700329131e+08
1286841900; 2.0000000000e+01; 0.0000000000e+00; 7.3550527870e-01; 4.0716289365e+08; 2.5352452196e+00; 7.6417024000e+08; 1.1000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5700734635e+08
1286842200; 2.0000000000e+01; 0.0000000000e+00; 2.9726922892e-01; 4.0716694869e+08; 4.4520162817e+00; 7.6417024000e+08; 1.1000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5700329131e+08
1286842500; 2.0000000000e+01; 0.0000000000e+00; 1.5048104794e-01; 4.0716697600e+08; 2.0181829431e+00; 7.6417024000e+08; 1.1000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5700326400e+08
1286842800; 1.9003333333e+01; 0.0000000000e+00; 4.5564444444e-01; 4.0718330539e+08; 7.1494777778e+00; 7.6417024000e+08; 1.0003333333e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5698693461e+08
1286843100; 1.8003333333e+01; 0.0000000000e+00; 9.7866666667e-02; 4.0721193643e+08; 1.0338444444e+00; 7.6417024000e+08; 9.0033333333e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5695830357e+08
1286843400; 1.8996666667e+01; 0.0000000000e+00; 4.2888888889e-01; 4.0719570261e+08; 2.8870666667e+00; 7.6417024000e+08; 9.9966666667e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5697453739e+08
1286843700; 1.8003333333e+01; 0.0000000000e+00; 9.1133333333e-02; 4.0722422443e+08; 8.2026666667e-01; 7.6417024000e+08; 9.0033333333e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5694601557e+08
1286844000; 1.8000000000e+01; 0.0000000000e+00; 2.3539413068e-01; 4.0721207296e+08; 2.7841064599e+00; 7.6417024000e+08; 9.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5695816704e+08
1286844300; 1.8000000000e+01; 0.0000000000e+00; 9.1271532647e-02; 4.0721203200e+08; 9.1227243266e-01; 7.6417024000e+08; 9.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5695820800e+08
1286844600; 1.7003333333e+01; 0.0000000000e+00; 9.9967670011e-02; 4.0724060843e+08; 1.3352099963e+00; 7.6417024000e+08; 8.0033333333e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5692963157e+08
