etime;sla2;ews_hits_20_wiki;ews2usage_23_NumberOfGroups;sla1;ews2usage_23_numberOflectures;ews_hits_20_phpbb;ews_hits_20_webdav;ews2usage_23_numberOfUsers;ews_hits_20_ews2;ews2usage_23_login5minutes
1286834700; 0; 6.4000000000e-01; 9.1300000000e+02; 0; 8.6040000000e+03; 6.6666666667e-01; 1.5666666667e-01; 4.7116993333e+04; 3.8366666667e+00; 2.2006666667e+01
1286835000; 0; 8.1940000000e-01; 9.1300000000e+02; 0; 8.6040000000e+03; 8.1284444444e-01; 1.6995555556e-01; 4.7117996667e+04; 3.4911555556e+00; 1.9010000000e+01
1286835300; 0; 1.4013888889e+00; 9.1300000000e+02; 0; 8.6040000000e+03; 1.4744555556e+00; 1.0687777778e-01; 4.7117003333e+04; 2.8587777778e+00; 1.6010000000e+01
1286835600; 0; 8.0865555556e-01; 9.1300000000e+02; 0; 8.6040000000e+03; 8.6205555556e-01; 6.6800000000e-02; 4.7117000000e+04; 1.9928888889e+00; 1.1016666667e+01
1286835900; 0; 8.5468512366e-02; 9.1300000000e+02; 0; 8.6040000000e+03; 9.8891029900e-02; 1.5915909930e-01; 4.7117996667e+04; 2.6588924695e+00; 1.0003333333e+01
1286836200; 0; 2.3809005285e-02; 9.1300000000e+02; 0; 8.6040000000e+03; 2.3897598862e-02; 2.0996233291e-02; 4.7118000000e+04; 1.2502715215e+00; 6.0266666667e+00
1286836500; 0; 1.3296692679e-01; 9.1300000000e+02; 0; 8.6040000000e+03; 1.2964470457e-01; 6.6511334077e-02; 4.7118000000e+04; 1.5921582311e+00; 4.0066666667e+00
1286836800; 0; 8.6535252861e-02; 9.1300000000e+02; 0; 8.6040000000e+03; 8.9835326689e-02; 1.1611369509e-01; 4.7118000000e+04; 1.7966621632e+00; 6.9900000000e+00
1286837100; 0; 1.0024141009e-01; 9.1300000000e+02; 0; 8.6040000000e+03; 3.3819857258e-02; 1.5359570662e-01; 4.7118000000e+04; 1.7428406982e+00; 8.9866666667e+00
1286837400; 0; 1.3322333705e-01; 9.1300000000e+02; 0; 8.6040000000e+03; 1.9944481605e-01; 1.3672393162e-01; 4.7118000000e+04; 1.6868526942e+00; 9.9966666667e+00
1286837700; 0; 2.3964444444e-01; 9.1300000000e+02; 1; 8.6040000000e+03; 6.0466666667e-02; 7.3544444444e-02; 4.7117003333e+04; 1.8992888889e+00; 6.0133333333e+00
1286838000; 0; 6.0876666667e-01; 9.1300000000e+02; 0; 8.6040000000e+03; 7.5434444444e-01; 1.4310000000e-01; 4.7117000000e+04; 1.4747555556e+00; 9.9866666667e+00
1286838300; 0; 4.5222222222e-02; 9.1300000000e+02; 0; 8.6040000000e+03; 2.0185555556e-01; 6.0277777778e-02; 4.7117000000e+04; 1.3039000000e+00; 5.0166666667e+00
1286838600; 0; 5.5163333333e-01; 9.1300000000e+02; 0; 8.6040000000e+03; 8.0400000000e-02; 6.6644444444e-02; 4.7117000000e+04; 7.7842222222e-01; 3.0066666667e+00
1286838900; 0; 3.5400000000e-01; 9.1300000000e+02; 0; 8.6040000000e+03; 1.5973333333e-01; 7.9955555556e-02; 4.7117000000e+04; 6.3048888889e-01; 3.9966666667e+00
1286839200; 0; 7.8222222222e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 1.0500000000e-02; 9.9933333333e-02; 4.7117000000e+04; 6.9312222222e-01; 4.0000000000e+00
1286839500; 0; 7.3111111111e-02; 9.1300000000e+02; 0; 8.6040000000e+03; 1.0000000000e-02; 6.3455555556e-02; 4.7117000000e+04; 3.1792222222e-01; 4.0000000000e+00
1286839800; 0; 1.0177999262e-02; 9.1300000000e+02; 0; 8.6040000000e+03; 2.7486168328e-01; 6.3123624954e-02; 4.7117000000e+04; 5.1428922111e-01; 4.9966666667e+00
1286840100; 0; 6.6445182724e-05; 9.1300000000e+02; 0; 8.6040000000e+03; 1.8383167220e-03; 7.0651896132e-03; 4.7117000000e+04; 1.2967603344e-01; 3.3333333333e-02
1286840400; 0; 3.6876666667e-01; 9.1300000000e+02; 0; 8.6040000000e+03; 6.6444444444e-03; 9.9889632107e-03; 4.7117000000e+04; 4.7882363434e-01; 9.9666666667e-01
1286840700; 0; 7.8777777778e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 3.3444444444e-03; 6.6777777778e-03; 4.7117000000e+04; 3.2385555556e-01; 1.0000000000e+00
1286841000; 0; 3.3444444444e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 2.9911111111e-02; 1.9955555556e-02; 4.7117000000e+04; 2.5688888889e-01; 1.0000000000e+00
1286841300; 0; 9.9777777778e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 2.5258888889e-01; 2.6644444444e-02; 4.7117000000e+04; 9.2443333333e-01; 3.9900000000e+00
1286841600; 0; 3.3333333333e-05; 9.1300000000e+02; 0; 8.6040000000e+03; 8.4444444444e-04; 1.3377777778e-02; 4.7117000000e+04; 9.6111111111e-02; 1.3333333333e-02
1286841900; 0; 9.9335548173e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 9.9335548173e-03; 3.9778663714e-02; 4.7117000000e+04; 6.6254809893e-01; 1.9933333333e+00
1286842200; 0; 6.7108153054e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 6.7108153054e-03; 3.6809816405e-02; 4.7117000000e+04; 5.8913424964e-01; 2.0000000000e+00
1286842500; 0; 6.6667409885e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 6.6667409885e-03; 1.6733742103e-02; 4.7117996667e+04; 3.5411765143e-01; 1.0033333333e+00
1286842800; 0; 1.6633333333e-02; 9.1300000000e+02; 0; 8.6040000000e+03; 1.6633333333e-02; 2.6633333333e-02; 4.7118000000e+04; 4.1645555556e-01; 1.9966666667e+00
1286843100; 0; 5.5555555556e-05; 9.1300000000e+02; 0; 8.6040000000e+03; 5.5555555556e-05; 6.7333333333e-03; 4.7118000000e+04; 6.7833333333e-02; 6.6666666667e-03
1286843400; 0; 3.3222222222e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 3.9888888889e-02; 4.7118000000e+04; 1.6633333333e-01; 9.9666666667e-01
1286843700; 0; 1.1111111111e-05; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 6.7777777778e-03; 4.7118000000e+04; 7.2000000000e-03; 3.3333333333e-03
1286844000; 0; 0.0000000000e+00; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 2.3200516796e-02; 4.7118000000e+04; 2.6511701735e-02; 0.0000000000e+00
1286844300; 0; 0.0000000000e+00; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 6.7994088823e-03; 4.7118000000e+04; 6.8215572766e-03; 0.0000000000e+00
1286844600; 0; 8.3055555556e-02; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 6.6667409885e-03; 4.7118000000e+04; 6.3144518766e-02; 0.0000000000e+00
1286844900; 0; 2.7777777778e-04; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 6.6666666667e-03; 4.7118000000e+04; 6.8555555556e-03; 0.0000000000e+00
1286845200; 0; 0.0000000000e+00; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 6.6666666667e-03; 4.7118000000e+04; 6.6666666667e-03; 0.0000000000e+00
1286845500; 0; 3.3222222222e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 3.3222222222e-03; 6.6666666667e-03; 4.7118000000e+04; 1.7942222222e-01; 0.0000000000e+00
1286845800; 0; 3.3333333333e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 1.1111111111e-05; 9.9888888889e-03; 4.7118000000e+04; 1.3888888889e-02; 0.0000000000e+00
1286846100; 0; 1.1111111111e-05; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 9.9668881506e-03; 4.7118000000e+04; 6.6268143226e-02; 0.0000000000e+00
1286846400; 0; 0.0000000000e+00; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 1.0033000367e-02; 4.7118000000e+04; 7.0873380075e-03; 0.0000000000e+00
1286846700; 0; 3.3222222222e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 3.3222222222e-03; 1.6644555927e-02; 4.7118000000e+04; 2.2925562988e-01; 9.9666666667e-01
1286847000; 0; 1.1111111111e-05; 9.1300000000e+02; 0; 8.6040000000e+03; 1.1111111111e-05; 2.6633333333e-02; 4.7118000000e+04; 1.0375555556e-01; 1.0000000000e+00
1286847300; 0; 0.0000000000e+00; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 6.7112587671e-03; 4.7118000000e+04; 1.7914843116e-01; 3.3333333333e-03
1286847600; 0; 0.0000000000e+00; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 6.6886669111e-03; 4.7118000000e+04; 5.7673159331e-02; 0.0000000000e+00
1286847900; 0; 0.0000000000e+00; 9.1300000000e+02; 0; 8.6040000000e+03; 3.3222222222e-03; 1.6633407655e-02; 4.7118000000e+04; 5.0022853958e-02; 9.9666666667e-01
1286848200; 0; 2.6489479513e-02; 9.1300000000e+02; 0; 8.6040000000e+03; 1.1111111111e-05; 6.6779254337e-03; 4.7118000000e+04; 6.7890365449e-03; 3.3333333333e-03
1286848500; 0; 3.4993722152e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 1.0010851972e-02; 4.7118000000e+04; 6.6886669111e-03; 0.0000000000e+00
1286848800; 0; 6.6555927165e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 2.3255555556e-02; 6.6778892605e-03; 4.7118000000e+04; 6.6667409885e-03; 0.0000000000e+00
1286849100; 0; 3.3444444444e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 3.4000000000e-03; 1.6633333333e-02; 4.7118000000e+04; 2.3257777778e-01; 9.9666666667e-01
1286849400; 0; 1.1111111111e-05; 9.1300000000e+02; 0; 8.6040000000e+03; 1.1111111111e-05; 6.6779254337e-03; 4.7118000000e+04; 7.0312661499e-02; 3.3333333333e-03
1286849700; 0; 3.3221850613e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 3.3221850613e-03; 1.3333037034e-02; 4.7118000000e+04; 3.2603925229e-01; 9.9333333333e-01
1286850000; 0; 1.1148272018e-05; 9.1300000000e+02; 0; 8.6040000000e+03; 1.1148272018e-05; 1.0011259755e-02; 4.7118000000e+04; 1.0408141955e-01; 1.0000000000e+00
1286850300; 0; 6.6444444444e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 3.3222222222e-03; 2.6611111111e-02; 4.7118000000e+04; 2.2957777778e-01; 1.0000000000e+00
1286850600; 0; 3.3444444444e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 3.3333333333e-03; 2.9988888889e-02; 4.7118000000e+04; 1.5691111111e-01; 1.0000000000e+00
1286850900; 0; 1.1111111111e-05; 9.1300000000e+02; 0; 8.6040000000e+03; 1.1111111111e-05; 1.0066666667e-02; 4.7118000000e+04; 1.0488888889e-02; 3.3333333333e-03
1286851200; 0; 0.0000000000e+00; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 6.6777777778e-03; 4.7118000000e+04; 1.3322222222e-02; 0.0000000000e+00
1286851500; 0; 0.0000000000e+00; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 6.6445921004e-03; 4.7118000000e+04; 1.3289184201e-02; 0.0000000000e+00
1286851800; 0; 0.0000000000e+00; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 4.3232702586e-02; 4.7118000000e+04; 2.0021703945e-02; 0.0000000000e+00
1286852100; 0; 0.0000000000e+00; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 6.7893719807e-03; 4.7118000000e+04; 6.7113340766e-03; 0.0000000000e+00
1286852400; 0; 0.0000000000e+00; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 9.9888888889e-03; 4.7118000000e+04; 9.9888888889e-03; 0.0000000000e+00
1286852700; 0; 3.3222222222e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 3.3222222222e-03; 1.3322222222e-02; 4.7118000000e+04; 2.2926666667e-01; 9.9666666667e-01
1286853000; 0; 3.3333333333e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 3.3333333333e-03; 1.6655555556e-02; 4.7118000000e+04; 1.1040000000e-01; 1.0000000000e+00
1286853300; 0; 3.3222960502e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 3.3222960502e-03; 3.9789774825e-02; 4.7118000000e+04; 1.7585946844e-01; 1.9966666667e+00
1286853600; 0; 2.2148394241e-05; 9.1300000000e+02; 0; 8.6040000000e+03; 2.2148394241e-05; 1.0232335915e-02; 4.7118000000e+04; 9.7517231673e-02; 1.3333333333e-02
1286853900; 0; 0.0000000000e+00; 9.1300000000e+02; 0; 8.6040000000e+03; 3.3222222222e-03; 4.3222333705e-02; 4.7118000000e+04; 1.4982329989e-01; 1.9933333333e+00
1286854200; 0; 6.6444444444e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 1.1111111111e-05; 6.7888888889e-03; 4.7118000000e+04; 1.6661111111e-01; 6.6666666667e-03
1286854500; 0; 2.2222222222e-05; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 6.6666666667e-03; 4.7118000000e+04; 7.2000000000e-03; 0.0000000000e+00
1286854800; 0; 3.3222222222e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 3.3222222222e-03; 1.6633333333e-02; 4.7118000000e+04; 1.6613333333e-01; 9.9666666667e-01
1286855100; 0; 6.6334809893e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 6.6334809893e-03; 3.3167404946e-02; 4.7118000000e+04; 4.2107604282e-01; 2.9933333333e+00
1286855400; 0; 1.0010851972e-02; 9.1300000000e+02; 0; 8.6040000000e+03; 1.0010851972e-02; 3.6765519617e-02; 4.7118000000e+04; 9.4631340348e-01; 3.9933333333e+00
1286855700; 0; 7.6190698415e-02; 9.1300000000e+02; 0; 8.6040000000e+03; 9.9669996333e-03; 5.6412774957e-02; 4.7118000000e+04; 8.1109523439e-01; 4.0000000000e+00
1286856000; 0; 3.0409078619e-02; 9.1300000000e+02; 0; 8.6040000000e+03; 7.6476701593e-02; 9.0075519358e-02; 4.7118000000e+04; 5.7017566862e-01; 4.0000000000e+00
1286856300; 0; 3.4225566704e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 3.5786324786e-03; 3.6845447789e-02; 4.7118000000e+04; 5.1019520624e-01; 1.0100000000e+00
