UTC_Time,Panda_Failure_Rate,Panda_Efficiency,Overall_DDM_Failure_Rate,Overall_DDM_Efficiency,Queue_Status,DwnTm
2013-04-22 15:47:01.754744,0,100,0.0215,100,1,0
2013-04-22 15:51:56.107620,0,100,0.0220,100,1,0
2013-04-22 15:57:19.603283,0,100,0.0222,100,1,0
2013-04-22 16:35:01.830220,0,100,0.0230,100,1,0
2013-04-22 16:49:01.825309,0,100,0.0227,100,1,0
2013-04-22 16:54:10.944941,0,100,0.0227,100,1,0
2013-04-22 17:01:15.750753,0,100,0.0219,100,1,0
2013-04-22 17:03:07.341108,0,100,0.0219,100,1,0
2013-04-22 17:19:40.687003,0,100,0.0219,100,1,0
2013-04-22 17:23:05.346757,0,100,0.0219,100,1,0
2013-04-22 17:46:46.840825,0,100,0.0235,100,1,0
2013-04-22 17:47:59.354600,0,100,0.0235,100,1,0
2013-04-22 18:00:01.444546,0,100,0.0228,100,1,0
2013-04-22 18:30:01.975278,0,100,0.0240,100,1,0
2013-04-22 19:00:02.158273,0,100,0.0,100,1,0
2013-04-22 19:30:01.446353,0,100,0.0,100,1,0
2013-04-22 20:00:02.105397,0,100,0.0,100,1,0
2013-04-22 20:30:01.774518,0,100,0.0,100,1,0
2013-04-22 21:00:01.588752,0,100,0.604,99.2,1,0
2013-04-22 21:30:01.496460,0,100,0.684,99.1,1,0
2013-04-22 22:00:01.524597,0,100,10.2,89.7,1,0
2013-04-22 22:30:01.675256,20.8,79.2,19.8,80.3,1,0
2013-04-22 23:00:01.203893,80.6,19.4,37.8,62.1,1,0
2013-04-22 23:30:01.621459,90.2,9.80,50.1,50.1,0,0
2013-04-23 00:00:01.488497,97.6,2.42,78.1,21.7,0,0
2013-04-23 00:30:01.302075,100,0,100,0.0,0,0
2013-04-23 01:00:01.628471,100,0,100,0.0,0,0
2013-04-23 01:30:01.281579,100,0,100,0.0,0,0
2013-04-23 02:00:01.354237,100,0,100,0.0,0,0
2013-04-23 02:30:01.589300,100,0,100,0.0,0,0
2013-04-23 03:00:01.263686,100,0,73.9,25.9,0,0
2013-04-23 03:30:01.883429,100,0,53.0,47.0,0,0
2013-04-23 04:00:01.797556,100,0,43.5,56.5,0,0
2013-04-23 04:30:01.224594,100,0,40.2,59.8,0,0
2013-04-23 05:00:01.635432,100,0,32.3,67.7,0,0
2013-04-23 05:30:01.412765,100,0,31.9,68.1,0,0
2013-04-23 06:00:01.920068,100,0,28.4,71.5,0,0
2013-04-23 06:30:01.985387,100,0,45.0,55.1,0,0
2013-04-23 07:00:02.076167,100,0,59.9,40.1,0,0
2013-04-23 07:30:01.510969,97.4,2.56,70.0,30.3,0,0
2013-04-23 08:00:01.728980,95.1,4.88,91.5,8.50,0,0
2013-04-23 08:30:01.195262,84.4,15.6,78.4,21.5,0,0
2013-04-23 09:00:01.702314,84.1,15.9,73.6,26.6,0,0
2013-04-23 09:30:01.846906,78.3,21.7,60.5,39.9,0,0
2013-04-23 10:00:02.072081,79.1,20.9,46.4,53.4,0,0
2013-04-23 10:30:01.516354,79.5,20.5,41.5,58.7,0,0
2013-04-23 11:00:01.291569,88.1,11.9,35.4,64.6,0,0
2013-04-23 11:30:01.871357,90.9,9.09,32.4,67.7,0,0
2013-04-23 12:00:01.204419,85.7,14.3,31.1,69.0,0,0
2013-04-23 12:30:02.123959,92.7,7.32,29.9,70.1,0,0
2013-04-23 13:00:02.141219,86.8,13.2,30.2,69.8,0,0
2013-04-23 14:00:01.754602,70.3,29.7,28.0,72.0,0,0
2013-04-23 14:30:01.817299,59.0,41.0,27.0,72.8,0,0
2013-04-23 15:00:02.003427,57.5,42.5,26.2,73.7,0,0
2013-04-23 15:30:01.333448,51.4,48.6,28.0,72.1,0,0
2013-04-23 16:00:01.750406,50.0,50.0,29.6,70.3,0,0
2013-04-23 16:30:01.223463,45.8,54.2,29.1,71.1,0,0
2013-04-23 17:00:01.241498,55.0,45.0,29.9,70.1,0,0
2013-04-23 17:30:01.721103,37.5,62.5,36.0,64.1,0,0
2013-04-23 18:00:01.590111,16.7,83.3,32.4,67.5,0,0
2013-04-23 18:30:02.079459,0,100,36.4,63.6,0,0
2013-04-23 19:00:01.640773,0,100,40.1,59.9,1,0
2013-04-23 19:30:01.794259,0,100,31.8,68.2,1,0
2013-04-23 20:00:01.319704,0,100,26.9,73.2,1,0
2013-04-23 20:30:01.177141,0,100,24.6,75.6,1,0
2013-04-23 21:00:01.549039,0,100,25.2,74.9,1,0
2013-04-23 21:30:01.401921,0,100,23.6,76.2,1,0
2013-04-23 22:00:02.170846,1.02,99.0,25.5,74.5,1,0
2013-04-23 22:30:01.534012,0.450,99.5,27.6,72.3,1,0
2013-04-23 23:00:01.806677,0.505,99.5,27.3,72.7,1,0
2013-04-23 23:30:01.165633,0.606,99.4,19.8,80.2,1,0
2013-04-24 00:00:01.302424,0.676,99.3,14.3,85.7,1,0
2013-04-24 00:30:01.978231,0,100,12.7,87.3,1,0
2013-04-24 01:00:01.257293,0,100,10.4,89.6,1,0
2013-04-24 01:30:01.274326,0,100,10.6,89.4,1,0
