UTC_Time,Panda_Failure_Rate,Panda_Efficiency,Overall_DDM_Failure_Rate,Overall_DDM_Efficiency,Queue_Status,DwnTm
2013-04-22 17:00:54.389726,0,100,0,100,1,0
2013-04-22 17:02:33.486111,0,100,0,100,1,0
2013-04-22 17:03:05.033469,0,100,0,100,1,0
2013-04-22 17:34:29.424127,0,100,0,100,1,0
2013-04-22 17:44:25.784837,0,100,0,100,1,0
2013-04-22 17:45:25.097395,0,100,0,100,1,0
2013-04-22 18:00:01.440540,0,100,0,100,1,0
2013-04-22 18:30:01.899525,0,100,0,100,1,0
2013-04-22 19:00:02.086783,0,100,0,100,1,0
2013-04-22 19:30:01.423821,0,100,0,100,1,0
2013-04-22 20:00:02.075066,0,100,0,100,1,0
2013-04-22 20:30:01.803846,0,100,0,100,1,0
2013-04-22 21:00:01.560629,0,100,0,100,1,0
2013-04-22 21:30:01.466144,0,100,0,100,1,0
2013-04-22 22:00:01.495026,0,100,0,100,1,0
2013-04-22 22:30:01.617672,0,100,0,100,1,0
2013-04-22 23:00:01.129331,0,100,0,100,1,0
2013-04-22 23:30:01.590940,0,100,0,100,0,0
2013-04-23 00:00:01.451646,0,100,0,100,0,0
2013-04-23 00:30:01.335081,0,100,0,100,0,0
2013-04-23 01:00:01.598370,0,100,0,100,1,0
2013-04-23 01:30:01.313285,0,100,0,100,1,0
2013-04-23 02:00:01.310996,0,100,0,100,1,0
2013-04-23 02:30:01.620601,0,100,0,100,1,0
2013-04-23 03:00:01.233925,0,100,0,100,1,0
2013-04-23 03:30:01.816768,0,100,0,100,1,0
2013-04-23 04:00:01.739009,0,100,0,100,1,0
2013-04-23 04:30:01.168406,0,100,0,100,1,0
2013-04-23 05:00:01.605125,0,100,0,100,1,0
2013-04-23 05:30:01.356434,0,100,0,100,1,0
2013-04-23 06:00:01.881506,0,100,0,100,1,0
2013-04-23 06:30:01.952606,0,100,0,100,1,0
2013-04-23 07:00:02.038017,0,100,0,100,1,0
2013-04-23 07:30:01.460537,0,100,0,100,1,0
2013-04-23 08:00:01.781977,0,100,0,100,1,0
2013-04-23 08:30:01.138985,0,100,0,100,1,0
2013-04-23 09:00:01.674763,0,100,0,100,1,0
2013-04-23 09:30:01.791344,0,100,0,100,1,0
2013-04-23 10:00:02.033622,0,100,0,100,1,0
2013-04-23 10:30:01.440561,0,100,0,100,1,0
2013-04-23 11:00:01.258802,0,100,0,100,1,0
2013-04-23 11:30:01.808964,0,100,0,100,1,0
2013-04-23 12:00:01.174734,0,100,0,100,1,0
2013-04-23 12:30:02.057022,0,100,0,100,1,0
2013-04-23 13:00:02.112571,0,100,0,100,1,0
2013-04-23 13:30:02.073960,0,100,0,100,1,0
2013-04-23 14:00:01.722609,0,100,0,100,1,0
2013-04-23 14:30:01.848404,0,100,0,100,1,0
2013-04-23 15:00:01.961969,0,100,0,100,1,0
2013-04-23 15:30:01.369328,0,100,0,100,1,0
2013-04-23 16:00:01.780756,0,100,0,100,1,0
2013-04-23 16:30:01.196740,0,100,0,100,1,0
2013-04-23 17:00:01.173601,0,100,0,100,1,0
2013-04-23 17:30:01.688322,0,100,0,100,1,0
2013-04-23 18:00:01.537147,0,100,0,100,1,0
2013-04-23 18:30:02.057163,0,100,0,100,1,0
2013-04-23 19:00:01.667888,0,100,0,100,1,0
2013-04-23 19:30:01.767900,0,100,0,100,1,0
2013-04-23 20:00:01.354837,0,100,0,100,1,0
2013-04-23 20:30:01.103678,0,100,0,100,1,0
2013-04-23 21:00:01.585470,0,100,0,100,1,0
2013-04-23 21:30:01.373711,0,100,0,100,1,0
2013-04-23 22:00:02.119235,0,100,0,100,1,0
2013-04-23 22:30:01.499999,0,100,0,100,1,0
2013-04-23 23:00:01.777329,0,100,0,100,1,0
2013-04-23 23:30:01.135492,0,100,0,100,1,0
2013-04-24 00:00:01.270139,0,100,0,100,1,0
2013-04-24 00:30:01.997862,0,100,0,100,1,0
2013-04-24 01:00:01.197906,0,100,0,100,1,0
2013-04-24 01:30:01.245720,0,100,0,100,1,0
2013-04-24 02:00:02.124306,0,100,0,100,1,0
2013-04-24 02:30:01.270624,0,100,0,100,1,0
2013-04-24 03:00:01.489519,0,100,0,100,1,0
2013-04-24 03:30:01.595588,0,100,0,100,1,0
2013-04-24 04:00:01.968245,0,100,0,100,1,0
2013-04-24 04:30:01.690918,0,100,0,100,1,0
2013-04-24 05:00:01.666359,0,100,0,100,1,0
2013-04-24 05:30:01.990417,0,100,0,100,1,0
2013-04-24 06:00:02.095476,0,100,0,100,1,0
2013-04-24 06:30:01.523264,0,100,0,100,1,0
2013-04-24 07:00:02.097984,0,100,0,100,1,0
2013-04-24 07:30:02.105460,0,100,0,100,1,0
2013-04-24 08:00:01.643906,0,100,0,100,1,0
2013-04-24 08:30:01.693734,0,100,0,100,1,0
2013-04-24 09:00:01.710324,0,100,0,100,1,0
2013-04-24 09:30:01.254222,0,100,0,100,1,0
2013-04-24 10:00:01.565360,0,100,0,100,1,0
2013-04-24 10:30:01.943933,0,100,0,100,1,0
2013-04-24 11:00:01.859370,0,100,0,100,1,0
2013-04-24 11:30:01.279949,0,100,0,100,1,0
2013-04-24 12:00:01.558237,0,100,0,100,1,0
2013-04-24 12:30:02.024589,0,100,0,100,1,0
2013-04-24 13:00:01.920142,0,100,0,100,1,0
2013-04-24 13:30:01.532291,0,100,0,100,1,0
2013-04-24 14:00:02.103267,0,100,0,100,1,0
2013-04-24 14:30:01.454493,0,100,0,100,1,0
2013-04-24 15:00:01.564263,0,100,0,100,1,0
2013-04-24 15:30:01.889530,0,100,0,100,1,0
2013-04-24 16:00:01.791667,3.23,96.8,0,100,1,0
2013-04-24 16:30:01.945858,3.12,96.9,0,100,1,0
2013-04-24 17:00:01.500480,2.94,97.1,0,100,1,0
2013-04-24 17:30:02.021751,2.86,97.1,0,100,1,0
2013-04-24 18:00:01.483432,3.12,96.9,0,100,1,0
2013-04-24 18:30:01.764364,2.63,97.4,0,100,1,0
2013-04-24 19:00:02.029558,0,100,0,100,1,0
2013-04-24 19:30:01.625421,0,100,0,100,1,0
2013-04-24 20:00:01.244572,0,100,0,100,1,0
2013-04-24 20:30:01.302889,0,100,0,100,1,0
2013-04-24 21:00:02.090265,0,100,0,100,1,0
2013-04-24 21:30:01.741319,0,100,0,100,1,0
2013-04-24 22:00:01.284262,0,100,0,100,1,0
2013-04-24 22:30:01.808906,0,100,0,100,1,0
2013-04-24 23:00:01.215536,0,100,0,100,1,0
2013-04-24 23:30:01.185416,0,100,0,100,1,0
2013-04-25 00:00:01.489941,0,100,0,100,1,0
2013-04-25 00:30:01.189301,0,100,0,100,1,0
2013-04-25 01:00:01.622279,0,100,0,100,1,0
2013-04-25 01:30:01.231468,0,100,0,100,1,0
2013-04-25 02:00:01.542338,0,100,0,100,1,0
2013-04-25 02:30:01.576815,0,100,0,100,1,0
2013-04-25 03:00:01.407752,0,100,0,100,1,0
2013-04-25 03:30:01.853288,0,100,0,100,1,0
2013-04-25 04:00:01.494426,0,100,0,100,1,0
2013-04-25 04:30:02.042614,0,100,0,100,1,0
2013-04-25 05:00:01.951418,0,100,0,100,1,0
2013-04-25 05:30:01.996992,0,100,0,100,1,0
2013-04-25 06:00:01.433836,0,100,0,100,1,0
2013-04-25 06:30:01.478289,0,100,0,100,1,0
2013-04-25 07:00:01.884026,0,100,0,100,1,0
2013-04-25 07:30:01.661595,0,100,0,100,1,0
2013-04-25 08:00:02.015199,0,100,0,100,1,0
2013-04-25 08:30:01.425242,0,100,0,100,1,0
2013-04-25 09:00:01.427256,0,100,0,100,1,0
2013-04-25 09:30:01.256280,0,100,0,100,1,0
2013-04-25 10:00:01.427700,0,100,0,100,1,0
2013-04-25 10:30:02.068390,0,100,0,100,1,0
2013-04-25 11:00:02.128870,0,100,0,100,1,0
2013-04-25 11:30:01.896989,0,100,0,100,1,0
2013-04-25 12:00:01.637699,0,100,0,100,1,0
2013-04-25 12:30:01.486303,0,100,0,100,1,0
2013-04-25 13:00:01.724998,0,100,0,100,1,0
2013-04-25 13:30:01.413989,0,100,0,100,1,0
2013-04-25 14:00:01.585337,0,100,0,100,1,0
2013-04-25 14:30:01.149116,0,100,0,100,1,0
2013-04-25 15:00:01.121797,0,100,0,100,1,0
2013-04-25 15:30:01.509703,0,100,0,100,1,0
2013-04-25 16:00:01.400119,0,100,0,100,1,0
2013-04-25 16:30:01.442731,0,100,0,100,1,0
2013-04-25 17:00:01.802315,0,100,0,100,1,0
2013-04-25 17:30:01.513474,0,100,0,100,1,0
2013-04-25 18:00:01.992314,0,100,0,100,1,0
2013-04-25 18:30:01.311386,0,100,0,100,1,0
2013-04-25 19:00:01.729557,0,100,0,100,1,0
2013-04-25 19:30:01.379287,0,100,0,100,1,0
2013-04-25 20:00:01.963528,0,100,0,100,1,0
2013-04-25 20:30:01.713761,0,100,0,100,1,0
2013-04-25 21:00:01.763060,0,100,0,100,1,0
2013-04-25 21:30:01.616982,3.12,96.9,0,100,1,0
2013-04-25 22:00:01.202027,2.78,97.2,0,100,1,0
2013-04-25 22:30:01.175470,2.78,97.2,0,100,1,0
2013-04-25 23:00:01.917297,2.70,97.3,0,100,1,0
2013-04-25 23:30:01.275154,2.44,97.6,0,100,1,0
2013-04-26 00:00:01.586946,2.50,97.5,0,100,1,0
2013-04-26 00:30:01.959477,0,100,0,100,1,0
2013-04-26 01:00:01.760656,0,100,0,100,1,0
2013-04-26 01:30:01.450121,0,100,0,100,1,0
2013-04-26 02:00:01.574276,0,100,0,100,1,0
2013-04-26 02:30:01.275943,0,100,0,100,1,0
2013-04-26 03:00:01.754145,0,100,0,100,1,0
2013-04-26 03:30:01.710343,0,100,0,100,1,0
2013-04-26 04:00:01.803754,0,100,0,100,1,0
2013-04-26 04:30:01.410062,0,100,0,100,1,0
2013-04-26 05:00:02.127588,0,100,0,100,1,0
2013-04-26 05:30:02.068171,0,100,0,100,1,0
2013-04-26 06:00:01.126886,0,100,0,100,1,0
2013-04-26 06:30:01.392204,0,100,0,100,1,0
2013-04-26 07:00:01.201465,0,100,0,100,1,0
2013-04-26 07:30:01.847818,0,100,0,100,1,0
2013-04-26 08:00:01.872004,0,100,0,100,1,0
2013-04-26 08:30:03.925606,0,100,0,100,1,0
2013-04-26 09:00:03.481827,0,100,0,100,1,0
2013-04-26 09:30:02.893280,0,100,0,100,1,0
2013-04-26 10:00:03.731108,0,100,0,100,1,0
2013-04-26 10:30:04.829305,0,100,0,100,1,0
2013-04-26 11:00:04.470852,0,100,0,100,1,0
2013-04-26 11:30:03.751980,0,100,0,100,1,0
2013-04-26 12:00:04.148223,0,100,0,100,1,0
2013-04-26 12:30:03.603326,0,100,0,100,1,0
2013-04-26 13:00:02.912130,0,100,0,100,1,0
2013-04-26 13:30:03.873483,0,100,0,100,1,0
2013-04-26 14:00:03.172952,0,100,0,100,1,0
2013-04-26 14:30:04.295823,0,100,0,100,1,0
2013-04-26 15:00:04.307463,0,100,0,100,1,0
2013-04-26 15:30:03.963235,0,100,0,100,1,0
2013-04-26 16:00:04.196346,0,100,0,100,1,0
2013-04-26 16:30:03.289447,0,100,0,100,1,0
2013-04-26 17:00:01.210911,0,100,0,100,1,0
2013-04-26 17:30:01.480019,0,100,0,100,1,0
2013-04-26 18:00:01.687444,0,100,0,100,1,0
2013-04-26 18:30:01.867210,0,100,0,100,1,0
2013-04-26 19:00:01.744392,0,100,0,100,1,0
2013-04-26 19:30:01.531392,0,100,0,100,1,0
2013-04-26 20:00:01.936483,0,100,0,100,1,0
2013-04-26 20:30:01.450173,0,100,0,100,1,0
2013-04-26 21:00:01.473720,0,100,0,100,1,0
2013-04-26 21:30:01.952430,0,100,0,100,1,0
2013-04-26 22:00:01.575771,0,100,0,100,1,0
2013-04-26 22:30:02.030222,0,100,0,100,1,0
2013-04-26 23:00:01.156488,0,100,0,100,1,0
2013-04-26 23:30:01.238087,0,100,0,100,1,0
2013-04-27 00:00:01.741405,0,100,0,100,1,0
2013-04-27 00:30:02.049891,0,100,0,100,1,0
2013-04-27 01:00:01.621409,0,100,0,100,1,0
2013-04-27 01:30:01.317452,0,100,0,100,1,0
2013-04-27 02:00:01.999504,0,100,0,100,1,0
2013-04-27 02:30:01.292747,0,100,0,100,1,0
2013-04-27 03:00:02.054134,0,100,0,100,1,0
2013-04-27 03:30:01.390268,0,100,0,100,1,0
2013-04-27 04:00:02.092595,0,100,0,100,1,0
2013-04-27 04:30:01.287108,0,100,0,100,1,0
2013-04-27 05:00:02.086028,0,100,0,100,1,0
2013-04-27 05:30:01.564995,0,100,0,100,1,0
2013-04-27 06:00:01.288763,0,100,0,100,1,0
2013-04-27 06:30:01.502240,0,100,0,100,1,0
2013-04-27 07:00:01.397152,0,100,0,100,1,0
2013-04-27 07:30:01.207837,0,100,0,100,1,0
2013-04-27 08:00:01.666995,0,100,0,100,1,0
2013-04-27 08:30:01.567013,0,100,0,100,1,0
2013-04-27 09:00:01.987974,0,100,0,100,1,0
2013-04-27 09:30:01.825408,0,100,0,100,1,0
2013-04-27 10:00:01.631899,0,100,0,100,1,0
2013-04-27 10:30:01.385129,0,100,0,100,1,0
2013-04-27 11:00:01.497037,0,100,0,100,1,0
2013-04-27 11:30:01.674688,0,100,0,100,1,0
2013-04-27 12:00:01.394081,0,100,0,100,1,0
2013-04-27 12:30:02.085704,0,100,0,100,1,0
2013-04-27 13:00:01.414797,0,100,0,100,1,0
2013-04-27 13:30:02.078351,0,100,0,100,1,0
2013-04-27 14:00:01.389763,0,100,0,100,1,0
2013-04-27 14:30:01.865784,0,100,0,100,1,0
2013-04-27 15:00:01.752420,0,100,0,100,1,0
2013-04-27 15:30:01.534924,0,100,0,100,1,0
2013-04-27 16:00:01.293335,0,100,0,100,1,0
2013-04-27 16:30:01.513768,0,100,0,100,1,0
2013-04-27 17:00:01.654459,0,100,0,100,1,0
2013-04-27 17:30:02.089141,0,100,0,100,1,0
2013-04-27 18:00:01.868189,12.5,87.5,7.41,92.6,1,0
2013-04-27 18:30:01.809502,55.0,45.0,18.3,81.7,1,0
2013-04-27 19:00:01.398812,80.0,20.0,43.1,56.9,1,0
2013-04-27 19:30:01.875049,92.3,7.69,73.1,26.9,1,0
2013-04-27 20:00:01.283690,97.9,2.11,98.5,1.53,1,0
2013-04-27 20:30:01.441762,100,0,100,0,1,0
2013-04-27 21:00:02.127499,100,0,100,0,0,0
2013-04-27 21:30:01.392112,100,0,100,0,0,0
2013-04-27 22:00:01.853627,100,0,100,0,0,0
2013-04-27 22:30:01.999091,100,0,100,0,0,0
2013-04-27 23:00:01.456211,100,0,100,0,0,0
2013-04-27 23:30:01.547921,100,0,100,0,0,0
2013-04-28 00:00:01.631924,100,0,100,0,0,0
2013-04-28 00:30:01.959676,100,0,100,0,0,0
2013-04-28 01:00:01.456264,100,0,100,0,0,0
2013-04-28 01:30:01.229348,100,0,100,0,0,0
2013-04-28 02:00:01.707329,100,0,100,0,0,0
2013-04-28 02:30:02.062444,100,0,100,0,0,0
2013-04-28 03:00:01.960645,100,0,100,0,0,0
2013-04-28 03:30:01.353762,100,0,100,0,0,0
2013-04-28 04:00:02.064816,100,0,100,0,0,0
2013-04-28 04:30:01.260164,100,0,100,0,0,0
2013-04-28 05:00:01.150948,100,0,100,0,0,0
2013-04-28 05:30:01.952166,100,0,100,0,0,0
2013-04-28 06:00:01.513143,100,0,100,0,0,0
2013-04-28 06:30:01.205536,100,0,100,0,0,0
2013-04-28 07:00:01.616571,100,0,100,0,0,0
2013-04-28 07:30:01.193293,100,0,100,0,0,0
2013-04-28 08:00:01.754592,100,0,100,0,0,0
2013-04-28 08:30:01.204847,100,0,100,0,0,0
2013-04-28 09:00:01.814948,100,0,100,0.0,0,0
2013-04-28 09:30:01.151732,100,0,100,0,0,0
2013-04-28 10:00:01.237748,100,0,100,0.0,0,0
2013-04-28 10:30:01.381866,100,0,100,0.0,0,0
2013-04-28 11:00:01.983640,100,0,100,0,0,0
2013-04-28 11:30:01.726834,100,0,100,0,0,0
2013-04-28 12:00:01.659177,100,0,100,0,0,0
2013-04-28 12:30:01.775329,100,0,100,0,0,0
2013-04-28 13:00:01.496642,100,0,100,0,0,0
2013-04-28 13:30:01.128779,100,0,100,0,0,0
2013-04-28 14:00:01.983255,100,0,100,0,0,0
2013-04-28 14:30:01.781161,100,0,100,0,0,0
